invoice_type,property_id,creditor_id,tenancy_id,entered_date,due_date,creditor_reference,is_priority,line_1_account_code,line_1_description,line_1_amount_due,line_1_gst_due,line_1_amount_paid
Creditor,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2022-05-26,2022-12-10,Urgent - Ducted heating unit not,,,,858.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-SAN21000010,rps_lng-HDO191065,2022-01-10,2023-04-11,Urgent Carpet drying and cleaning,,,,0.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2021-11-18,2022-05-14,Heatin/Aircon Unit not workign again,,,,0.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2021-07-07,2021-10-27,URGENT Ducted Heating,,,,0.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2021-04-19,2021-04-29,Ducted heater not heating,,,,0.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2021-01-21,2021-02-04,faultt air con return visit,,,,0.0,0,0
Tenancy,rps_lng-HDO190634,rps_lng-HDO19001895,rps_lng-HDO191065,2020-12-24,2020-12-24,AMG Airconditioning,,,,3127.3,0,0
Creditor,rps_lng-HDO190685,rps_lng-HDO19001188,rps_lng-HDO190414,2023-03-31,2023-05-23,Gas safety certificate,,,,396.0,0,0
Creditor,rps_lng-HDO190685,rps_lng-HDO19001147,rps_lng-HDO190414,2023-03-30,2023-04-07,Hot Water System Leak,,,,252.95,0,0
Creditor,rps_lng-HDO190917,rps_lng-HDO19001188,rps_lng-HDO190718,2023-04-05,2023-05-19,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO190959,rps_lng-DRE19000076,rps_lng-HDO221599,2023-01-23,2023-01-23,Aircon Repairs,,,,1815.0,0,0
Creditor,rps_lng-HDO190959,rps_lng-DRE19000076,rps_lng-HDO221599,2022-12-30,2023-01-06,Air Con not working,,,,275.0,0,0
Creditor,rps_lng-HDO190984,rps_lng-HDO19001188,rps_lng-HDO190910,2023-02-14,2023-05-04,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO190984,rps_lng-HDO19001493,rps_lng-HDO190910,2022-08-01,2022-08-22,Cooling system leaking onto roof,,,,269.5,0,0
Creditor,rps_lng-HDO190984,rps_lng-HDO19002152,rps_lng-HDO190910,2021-11-17,2022-01-25,Heater Service,,,,365.0,0,0
Creditor,rps_lng-HDO190984,rps_lng-HDO19002113,rps_lng-HDO190910,2021-03-04,2021-04-15,Screen door quote,,,,750.0,0,0
Tenancy,rps_lng-HDO190984,,rps_lng-HDO190910,2020-04-28,2020-04-29,kitchen sink,,,,0.0,0,0
Tenancy,rps_lng-HDO190984,,rps_lng-HDO190910,2019-12-10,2020-01-01,Evaporative Cooling,,,,0.0,0,0
Tenancy,rps_lng-HDO190984,rps_lng-HDO22004027,rps_lng-HDO230724,2023-06-29,2023-07-12,Gas Safety Check,,,,290.0,0,0
Tenancy,rps_lng-HDO190995,rps_lng-DRE19000036,rps_lng-HDO191007,2020-01-07,2020-04-01,Security Door Quote,,,,808.5,0,0
Creditor,rps_lng-HDO190995,rps_lng-VAD21000019,rps_lng-HDO201013,2022-01-14,2022-02-01,Exposed Nails in Carpet,,,,143.0,0,0
Creditor,rps_lng-HDO190995,rps_lng-HDO19001147,rps_lng-HDO201013,2021-10-12,2021-11-03,Laundry - water leak investigation,,,,325.6,0,0
Creditor,rps_lng-HDO190995,rps_lng-HDO19001188,rps_lng-HDO220998,2023-04-05,2023-04-27,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO190995,rps_lng-HDO19002137,rps_lng-HDO220998,2023-02-07,2023-03-07,Pest Control,,,,280.0,0,0
Creditor,rps_lng-HDO190995,rps_lng-VAD21000019,rps_lng-HDO220998,2022-08-12,2022-10-19,Entry Repairs,,,,1145.5,0,0
Tenancy,rps_lng-HDO190995,rps_lng-HDO18002052,rps_lng-HDO220998,2022-08-01,2022-08-11,Change of Locks,,,,682.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-HDO22004027,rps_lng-HDO190944,2023-06-30,2023-07-14,Gas Safety Check,,,,290.0,0,0
Tenancy,rps_lng-HDO191014,rps_lng-HDO19001188,rps_lng-HDO190944,2023-03-28,2023-05-31,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2022-10-18,2022-11-07,Roof repair and paint internally,,,,535.0,0,0
Tenancy,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2022-09-19,2022-10-11,Investigate Leak,,,,0.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2022-05-04,2022-07-20,Shower hose and laundry sink,,,,276.1,0,0
Creditor,rps_lng-HDO191014,rps_lng-HDO21001981,rps_lng-HDO190944,2022-01-13,2022-02-11,Light Covers & kitchen sink leak,,,,440.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2021-12-13,2021-12-13,Bathroom flooring/dining room ceiling & Skirting,,,,3388.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2021-09-15,2021-11-05,Dampness in ceiling/damage,,,,4609.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-CVA21002238,rps_lng-HDO190944,2021-08-12,2021-08-31,Leak Investigation,,,,198.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-HDO19001583,rps_lng-HDO190944,2021-04-20,2021-09-29,Dishwasher is not working,,,,800.0,0,0
Creditor,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2021-01-20,2021-04-20,Front Door Lock,,,,190.3,0,0
Tenancy,rps_lng-HDO191014,rps_lng-HDO19001583,rps_lng-HDO190944,2020-11-25,2021-01-12,Dishwasher,,,,121.0,0,0
Tenancy,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2020-07-01,2020-11-20,Door trim in laundry and door stop,,,,352.0,0,0
Tenancy,rps_lng-HDO191014,rps_lng-DRE19000036,rps_lng-HDO190944,2020-04-27,2020-05-12,Light fitting need resecuring,,,,154.55,0,0
Tenancy,rps_lng-HDO191014,rps_lng-HDO19001147,rps_lng-HDO190944,2020-04-27,2020-05-01,URGENT: Water leak,,,,0.0,0,0
Tenancy,rps_lng-HDO191014,rps_lng-HDO19004528,rps_lng-HDO190944,2019-12-31,2020-01-24,Letter Box damaged by truck,,,,0.0,0,0
Creditor,rps_lng-HDO191133,rps_lng-VAD21000019,rps_lng-HDO200026,2022-04-21,2022-06-29,Shower head & Door Handle,,,,309.75,0,0
Tenancy,rps_lng-HDO191133,rps_lng-WES20000011,rps_lng-HDO200026,2020-02-06,2020-02-06,Watering system,,,,385.0,0,0
Creditor,rps_lng-HDO191133,rps_lng-HDO15001023,rps_lng-HDO230048,2023-02-28,2023-02-28,Repaid Urgent Gas Escape,,,,198.0,0,0
Creditor,rps_lng-HDO191133,rps_lng-HDO19001188,rps_lng-HDO230048,2023-02-14,2023-02-28,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO191134,rps_lng-HDO19001497,rps_lng-HDO200327,2023-04-21,2023-05-05,Mould treatment and exhaust fans,,,,544.5,0,0
Creditor,rps_lng-HDO191134,rps_lng-HDO19001188,rps_lng-HDO200327,2023-04-12,2023-07-04,Electrical Safety Check,,,,253.0,0,0
Creditor,rps_lng-HDO191134,rps_lng-DRE19000036,rps_lng-HDO200327,2023-03-17,2023-04-06,Blind Chain,,,,123.75,0,0
Creditor,rps_lng-HDO191134,rps_lng-CVA21002238,rps_lng-HDO200327,2023-03-17,2023-03-30,Leak in ensuite,,,,236.5,0,0
Tenancy,rps_lng-HDO191134,rps_lng-HDO19001583,rps_lng-HDO200327,2023-02-07,2023-03-30,Dishwasher not working,,,,0.0,0,0
Creditor,rps_lng-HDO191134,rps_lng-JAM20000164,rps_lng-HDO200327,2023-01-30,2023-02-01,Front Door Lock,,,,220.0,0,0
Tenancy,rps_lng-HDO191134,rps_lng-HDO17002815,rps_lng-HDO200327,2023-01-30,2023-03-02,Stove replacement,,,,0.0,0,0
Creditor,rps_lng-HDO191134,rps_lng-CVA21001803,rps_lng-HDO200327,2022-12-19,2023-01-11,Dishwasher Repairs,,,,165.0,0,0
Tenancy,rps_lng-HDO191134,rps_lng-HDO19001497,rps_lng-HDO200327,2022-12-19,2023-02-09,Mould in ensuite,,,,0.0,0,0
Tenancy,rps_lng-HDO191134,rps_lng-HDO19003549,rps_lng-HDO200327,2021-02-05,2021-01-05,Remaining Balance from #00052103,,,,647.5,0,0
Tenancy,rps_lng-HDO191134,rps_lng-HDO19003549,rps_lng-HDO200327,2020-11-19,2021-01-07,Dishwasher not working,,,,647.5,0,0
Tenancy,rps_lng-HDO191134,rps_lng-DRE19000036,rps_lng-HDO200327,2020-08-18,2020-12-23,Supply and install curtains,,,,1001.0,0,0
Creditor,rps_lng-HDO191147,rps_lng-HDO19001188,rps_lng-HDO191101,2023-04-05,2023-05-22,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO191147,rps_lng-DRE19000036,rps_lng-HDO191101,2022-09-26,2022-10-11,General Repairs,,,,415.8,0,0
Creditor,rps_lng-HDO191147,rps_lng-HDO18002179,rps_lng-HDO191101,2022-03-17,2022-06-01,Electrical issues (lights),,,,268.46,0,0
Creditor,rps_lng-HDO191147,rps_lng-VAD21000019,rps_lng-HDO191101,2021-08-25,2021-08-25,Handyman Job - Subsequent Hour,,,,88.0,0,0
Creditor,rps_lng-HDO191147,rps_lng-VAD21000019,rps_lng-HDO191101,2021-08-12,2021-08-25,Handyman jobs,,,,256.0,0,0
Creditor,rps_lng-HDO191147,rps_lng-COS19000051,rps_lng-HDO191101,2021-05-27,2021-07-01,Heating not working properly,,,,357.5,0,0
Creditor,rps_lng-HDO191230,rps_lng-VAD21000019,rps_lng-CHA190047,2022-08-01,2022-09-15,General Maintenance,,,,252.0,0,0
Creditor,rps_lng-HDO191230,rps_lng-HDO22004027,rps_lng-HDO230311,2023-06-27,2023-07-14,Gas Safety Check,,,,290.0,0,0
Creditor,rps_lng-HDO191230,rps_lng-HDO21001704,rps_lng-HDO230311,2023-03-22,2023-06-22,Entry Maintenance,,,,1173.04,0,0
Creditor,rps_lng-HDO191230,rps_lng-HDO19001188,rps_lng-HDO230311,2023-03-07,2023-06-05,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO191279,rps_lng-HDO19001147,rps_lng-HDO221539,2023-04-20,2023-05-02,Kitchen Tap,,,,410.8,0,0
Creditor,rps_lng-HDO191279,rps_lng-HDO19001188,rps_lng-HDO221539,2023-02-07,2023-03-01,Combined electrical and gas safety certificates,,,,528.0,0,0
Tenancy,rps_lng-HDO200014,rps_lng-HDO19003549,rps_lng-HDO200134,2021-03-16,2021-03-30,Oven not heating,,,,192.5,0,0
Creditor,rps_lng-HDO200014,rps_lng-HDO19004445,rps_lng-HDO220561,2022-09-21,2022-09-21,Pressure jetter truck to clear blockage,,,,330.0,0,0
Creditor,rps_lng-HDO200014,rps_lng-HDO19004445,rps_lng-HDO220561,2022-07-12,2022-08-01,Plumbing works,,,,220.0,0,0
Creditor,rps_lng-HDO200014,rps_lng-VAD21000019,rps_lng-HDO220561,2022-04-21,2022-05-31,Gas & Electrical Checks,,,,0.0,0,0
Tenancy,rps_lng-HDO200075,,rps_lng-JAM200013,2020-11-30,2021-06-01,AC service/Quotes,,,,0.0,0,0
Tenancy,rps_lng-HDO200075,,rps_lng-JAM200013,2020-08-07,2021-06-01,BUILDERS - range hood switch,,,,0.0,0,0
Tenancy,rps_lng-HDO200075,rps_lng-HDO20000526,rps_lng-JAM200013,2020-05-01,2020-06-29,heater not working,,,,0.0,0,0
Creditor,rps_lng-HDO200076,rps_lng-HDO20002103,rps_lng-HDO210938,2023-05-02,2023-05-02,Pest Inspection,,,,190.0,0,0
Creditor,rps_lng-HDO200076,rps_lng-HDO21001704,rps_lng-HDO210938,2023-04-13,2023-07-10,General Maintenance Quote,,,,595.1,0,0
Creditor,rps_lng-HDO200076,rps_lng-DRE19000076,rps_lng-HDO210938,2022-10-20,2022-11-03,Ducted Heater Issue,,,,275.0,0,0
Creditor,rps_lng-HDO200076,rps_lng-VAD21000019,rps_lng-HDO210938,2022-05-12,2022-11-08,Garage Leak & Laundry Door Repairs,,,,382.8,0,0
Creditor,rps_lng-HDO200076,rps_lng-VAD21000019,rps_lng-HDO210938,2022-04-05,2022-09-15,Gas & Electrical checks,,,,0.0,0,0
Tenancy,rps_lng-HDO200076,,rps_lng-JAM200014,2020-11-10,2021-06-01,Pest Control,,,,0.0,0,0
Tenancy,rps_lng-HDO200076,rps_lng-HDO19001873,rps_lng-JAM200014,2020-05-25,2020-07-22,Braemar Ducted heating not working,,,,0.0,0,0
Creditor,rps_lng-HDO200179,rps_lng-HDO19001202,rps_lng-HDO200614,2022-11-14,2023-04-26,General Repairs,,,,496.1,0,0
Creditor,rps_lng-HDO200179,rps_lng-COS19000051,rps_lng-HDO200614,2021-06-29,2021-07-16,Heating not working properly,,,,586.3,0,0
Tenancy,rps_lng-HDO200179,rps_lng-HDO18002179,rps_lng-HDO200614,2021-05-25,2021-05-25,Heating,,,,450.45,0,0
Creditor,rps_lng-HDO200194,rps_lng-VAD21000019,rps_lng-HDO200511,2021-10-29,2021-11-25,Bad weather knocked one of the fences over causing,,,,154.5,0,0
Tenancy,rps_lng-HDO200287,,rps_lng-HDO200612,2020-11-30,2021-02-10,Tile residue,,,,0.0,0,0
Tenancy,rps_lng-HDO200296,rps_lng-HDO19001340,rps_lng-HDO200638,2021-04-30,2021-04-30,hot water discharging water,,,,198.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-DRE19000036,rps_lng-HDO210541,2022-07-09,2022-10-05,Shower door Not closing correctly,,,,261.8,0,0
Creditor,rps_lng-HDO200296,rps_lng-VAD21000019,rps_lng-HDO210541,2022-04-12,2022-09-07,Gas & Electrical Compliance,,,,0.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-HDO12002998,rps_lng-HDO210541,2021-11-07,2021-11-10,Backdoor lock repair,,,,132.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-VAD21000019,rps_lng-HDO210541,2021-11-01,2021-12-20,Backyard - branch removal SES,,,,316.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-HDO19001340,rps_lng-HDO210541,2021-08-05,2021-08-17,Hot Water System - Water isn’t very hot,,,,0.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-DRE19000076,rps_lng-HDO221263,2023-05-10,2023-05-16,A/C Service - Split System,,,,275.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-HDO22002894,rps_lng-HDO221263,2023-04-13,2023-05-11,Bedroom Light Issue,,,,143.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-HDO15002945,rps_lng-HDO221263,2023-04-13,2023-04-17,Mice - Pest Control,,,,330.0,0,0
Creditor,rps_lng-HDO200296,rps_lng-HDO19001147,rps_lng-HDO221263,2023-02-06,2023-02-16,Leaking Hot System,,,,295.68,0,0
Creditor,rps_lng-HDO200296,rps_lng-VAD21000019,rps_lng-HDO221263,2022-10-11,2022-10-11,"Door/jamb, painted shaved areas",,,,188.85,0,0
Creditor,rps_lng-HDO200300,rps_lng-HDO19001188,rps_lng-HDO220684,2023-04-04,2023-05-04,Gas and Electrical Check,,,,528.0,0,0
Tenancy,rps_lng-HDO200325,rps_lng-HDO12001503,rps_lng-HDO200808,2021-04-19,2021-04-19,Dishwasher repairs,,,,0.0,0,0
Tenancy,rps_lng-HDO200365,rps_lng-DRE19000036,rps_lng-HDO201029,2021-02-03,2021-03-01,Doors and Locks,,,,440.55,0,0
Tenancy,rps_lng-HDO200365,rps_lng-HDO19001147,rps_lng-HDO201029,2021-01-12,2021-01-25,Shower in ensuite,,,,249.51,0,0
Creditor,rps_lng-HDO200391,rps_lng-CVA21004419,rps_lng-HDO230152,2023-03-07,2023-03-07,Full Compliance Checks,,,,0.0,0,0
Creditor,rps_lng-HDO200434,rps_lng-HDO19001188,rps_lng-HDO220250,2023-04-04,2023-06-06,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-SAN22000025,rps_lng-HDO210305,2022-06-08,2022-06-15,Electrical Issues,,,,560.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-HDO22001401,rps_lng-HDO210305,2022-05-24,2022-05-24,Repair shower,,,,390.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-VAD21000019,rps_lng-HDO210305,2022-02-08,2022-04-14,Bathroom Leak,,,,1626.5,0,0
Creditor,rps_lng-HDO210002,rps_lng-HDO19002152,rps_lng-HDO210305,2021-12-08,2021-12-23,Ducted Cooling,,,,580.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-DRE19000104,rps_lng-HDO210305,2021-08-27,2021-09-08,Urgent Heating Issues,,,,2200.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-HDO19001147,rps_lng-HDO210305,2021-07-23,2021-07-28,Burst pipe,,,,462.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-VAD21000019,rps_lng-HDO210305,2021-07-14,2022-10-21,Electrical Safety Check,,,,0.0,0,0
Tenancy,rps_lng-HDO210002,rps_lng-WES21000025,rps_lng-HDO210305,2021-06-11,2021-07-14,live wire,,,,0.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-DRE19000104,rps_lng-HDO210305,2021-04-30,2021-05-12,Ducted heating is not working,,,,350.0,0,0
Tenancy,rps_lng-HDO210002,rps_lng-HDO19001102,rps_lng-HDO210305,2021-04-23,2021-07-14,URGENT Smoke alarms required,,,,0.0,0,0
Creditor,rps_lng-HDO210002,rps_lng-CVA21001816,rps_lng-HDO210305,2021-04-23,2021-07-14,Handyman items,,,,363.0,0,0
Creditor,rps_lng-HDO210031,rps_lng-DRE19000036,rps_lng-HDO210374,2022-12-12,2023-02-16,Timber Decking,,,,395.0,0,0
Creditor,rps_lng-HDO210031,rps_lng-SAN22000052,rps_lng-HDO210374,2022-05-13,2022-05-18,Final Payment for Garage Door Repair,,,,135.0,0,0
Creditor,rps_lng-HDO210031,rps_lng-VAD21000019,rps_lng-HDO210374,2022-04-12,2022-10-14,Gas & Electrical Compliance,,,,0.0,0,0
Creditor,rps_lng-HDO210031,rps_lng-SAN22000052,rps_lng-HDO210374,2022-01-20,2022-02-01,Garage Door Not Opening,,,,445.0,0,0
Creditor,rps_lng-HDO210031,rps_lng-HDO21000365,rps_lng-HDO210374,2021-09-23,2021-10-13,Dishwasher not Draining,,,,1056.0,0,0
Tenancy,rps_lng-HDO210031,,rps_lng-HDO210374,2021-07-25,2021-10-13,Kitchen - Pipe leaking under sink,,,,0.0,0,0
Creditor,rps_lng-HDO210036,rps_lng-HDO19001188,rps_lng-HDO210225,2023-04-04,2023-05-01,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210036,rps_lng-SAN22000095,rps_lng-HDO210225,2023-03-08,2023-05-22,Bathroom lights,,,,0.0,0,0
Tenancy,rps_lng-HDO210036,rps_lng-HDO13000942,rps_lng-HDO210225,2021-03-03,2021-03-09,Kitchen - Water is leaking from the pipe beneath t,,,,187.0,0,0
Creditor,rps_lng-HDO210068,rps_lng-SAN22000095,rps_lng-HDO220254,2023-03-14,2023-03-17,Toilet Light Switch,,,,0.0,0,0
Creditor,rps_lng-HDO210068,rps_lng-CVA21002421,rps_lng-HDO220254,2022-12-21,2023-02-27,Mould & Damp Restoration,,,,863.5,0,0
Creditor,rps_lng-HDO210068,rps_lng-HDO19001147,rps_lng-HDO220254,2022-11-30,2022-12-22,Water Leak,,,,322.93,0,0
Creditor,rps_lng-HDO210068,rps_lng-VAD21000019,rps_lng-HDO220254,2022-04-12,2022-10-13,Gas & Electrical Compliance,,,,0.0,0,0
Creditor,rps_lng-HDO210068,rps_lng-HDO22001491,rps_lng-HDO220254,2022-02-23,2022-04-12,Leaking shower and exhaust fan,,,,495.0,0,0
Creditor,rps_lng-HDO210077,rps_lng-CVA21002250,rps_lng-HDO210387,2021-06-09,2021-06-23,Toilet cover seat is broken,,,,237.6,0,0
Tenancy,rps_lng-HDO210077,rps_lng-HDO19001269,rps_lng-HDO210387,2021-04-09,2021-04-09,HWS,,,,1778.7,0,0
Creditor,rps_lng-HDO210077,rps_lng-HDO19004377,rps_lng-HDO211009,2022-03-09,2022-03-21,Leaking Bathroom Tap,,,,169.95,0,0
Creditor,rps_lng-HDO210078,rps_lng-VAD21000019,rps_lng-HDO210389,2021-11-22,2021-10-13,General Repairs,,,,654.5,0,0
Creditor,rps_lng-HDO210078,rps_lng-HDO19001147,rps_lng-HDO211379,2023-05-29,2023-06-14,Water Leak Repairs,,,,215.6,0,0
Creditor,rps_lng-HDO210078,rps_lng-HDO19001188,rps_lng-HDO211379,2023-04-04,2023-05-18,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210078,rps_lng-VAD21000019,rps_lng-HDO211379,2022-02-22,2022-02-22,Handyman Repairs,,,,143.0,0,0
Creditor,rps_lng-HDO210078,rps_lng-VAD21000019,rps_lng-HDO211379,2021-12-01,2022-02-01,Door Repairs,,,,287.5,0,0
Creditor,rps_lng-HDO210105,rps_lng-HDO21001673,rps_lng-HDO210717,2023-06-30,2023-07-04,Post Tenancy Cleaning,,,,385.0,0,0
Tenancy,rps_lng-HDO210105,rps_lng-VAD21000019,rps_lng-HDO210717,2022-08-04,2022-09-15,Kitchen Cabinets,,,,194.15,0,0
Tenancy,rps_lng-HDO210105,rps_lng-HDO19001493,rps_lng-HDO210717,2022-06-22,2022-09-19,Ducted Heating Issue,,,,0.0,0,0
Creditor,rps_lng-HDO210119,rps_lng-HDO22001591,rps_lng-HDO210797,2022-06-08,2022-06-08,Weatherboards on rear west side of building,,,,1158.0,0,0
Creditor,rps_lng-HDO210119,rps_lng-HDO19001147,rps_lng-HDO210797,2022-01-07,2022-01-25,Blocked Pipes / Drains,,,,435.6,0,0
Creditor,rps_lng-HDO210119,rps_lng-HDO19002152,rps_lng-HDO210797,2021-07-15,2021-07-22,heating not working,,,,352.0,0,0
Creditor,rps_lng-HDO210128,rps_lng-HDO21001673,rps_lng-HDO210627,2023-02-02,2023-02-10,Vacate Cleaning,,,,242.0,0,0
Creditor,rps_lng-HDO210128,rps_lng-HDO19002152,rps_lng-HDO210627,2022-02-08,2022-05-03,Ducted Heating / Cooling,,,,215.0,0,0
Tenancy,rps_lng-HDO210136,,rps_lng-HDO210637,2021-06-23,2021-07-01,Water leakage in all wet areas,,,,0.0,0,0
Creditor,rps_lng-HDO210136,rps_lng-CHA20000024,rps_lng-HDO210686,2023-01-05,2023-02-13,A/C Deposit,,,,1300.0,0,0
Creditor,rps_lng-HDO210136,rps_lng-SAN21000030,rps_lng-HDO210686,2021-09-20,2021-09-20,Shower Head & Grout Repairs,,,,4630.0,0,0
Creditor,rps_lng-HDO210136,rps_lng-HDO19001170,rps_lng-HDO210686,2021-07-12,2021-07-12,Pest Treatment,,,,220.0,0,0
Tenancy,rps_lng-HDO210136,rps_lng-HDO21001704,rps_lng-HDO210686,2021-06-25,2021-07-28,As per discussion,,,,0.0,0,0
Creditor,rps_lng-HDO210145,rps_lng-VAD21000019,rps_lng-HDO210850,2021-10-29,2022-04-13,Backyard - rear fence repair,,,,214.5,0,0
Creditor,rps_lng-HDO210146,rps_lng-SAN22000007,rps_lng-HDO210822,2022-05-10,2022-05-17,Heater not working,,,,198.0,0,0
Tenancy,rps_lng-HDO210146,rps_lng-DRE19000036,rps_lng-HDO210822,2022-02-25,2022-03-21,Back Door Lock,,,,0.0,0,0
Creditor,rps_lng-HDO210146,rps_lng-DRE19000036,rps_lng-HDO210822,2021-08-27,2021-10-21,Door Maintenance,,,,434.5,0,0
Creditor,rps_lng-HDO210146,rps_lng-VAD21000019,rps_lng-HDO210822,2021-07-08,2021-08-11,Gas/Electricity checks,,,,602.8,0,0
Creditor,rps_lng-HDO210224,rps_lng-HDO19001188,rps_lng-HDO220076,2023-04-05,2023-06-14,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210224,rps_lng-HDO22004027,rps_lng-HDO220076,2023-01-24,2023-03-30,Maintenance - Oven & Air Vent,,,,390.0,0,0
Tenancy,rps_lng-HDO210233,rps_lng-HDO22003144,rps_lng-HDO211126,2022-09-26,2022-09-26,Oven Cleaning,,,,391.6,0,0
Creditor,rps_lng-HDO210233,rps_lng-HDO22003145,rps_lng-HDO211126,2022-09-26,2022-09-26,Patch and paint job,,,,330.0,0,0
Creditor,rps_lng-HDO210233,rps_lng-VAD21000019,rps_lng-HDO211126,2021-09-09,2021-09-28,Saftey Checks,,,,0.0,0,0
Creditor,rps_lng-HDO210242,rps_lng-HDO21001704,rps_lng-HDO210895,2023-05-08,2023-06-02,Shower Hose,,,,231.0,0,0
Creditor,rps_lng-HDO210242,rps_lng-HDO19001147,rps_lng-HDO210895,2023-03-27,2023-04-03,Leaking Kitchen Tap,,,,258.28,0,0
Creditor,rps_lng-HDO210242,rps_lng-CVA21004419,rps_lng-HDO210895,2023-03-06,2023-05-12,Gas & Smoke alarm compliance,,,,0.0,0,0
Creditor,rps_lng-HDO210242,rps_lng-SAN22000135,rps_lng-HDO210895,2022-03-07,2022-03-07,Leaking Toilet,,,,155.0,0,0
Creditor,rps_lng-HDO210251,rps_lng-SAN22000095,rps_lng-HDO221803,2023-03-08,2023-06-22,Urgent Switch Board Fault,,,,352.0,0,0
Creditor,rps_lng-HDO210254,rps_lng-HDO19001188,rps_lng-HDO211005,2023-04-04,2023-05-18,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210254,rps_lng-HDO19001147,rps_lng-HDO211005,2023-01-27,2023-02-02,Hot water tap in bathroom,,,,270.6,0,0
Creditor,rps_lng-HDO210254,rps_lng-DRE21000027,rps_lng-HDO211005,2022-05-29,2022-06-22,Heater - Heating will not turn on,,,,225.0,0,0
Creditor,rps_lng-HDO210254,rps_lng-HDO22001410,rps_lng-HDO211005,2022-05-25,2022-05-25,Various works blinds block out - balance,,,,652.03,0,0
Tenancy,rps_lng-HDO210254,rps_lng-VAD21000070,rps_lng-HDO211005,2021-09-25,2021-09-30,Heating not working,,,,0.0,0,0
Creditor,rps_lng-HDO210254,rps_lng-HDO21001446,rps_lng-HDO211005,2021-08-27,2021-09-02,Plumbing Works,,,,383.9,0,0
Creditor,rps_lng-HDO210271,rps_lng-HDO19001147,rps_lng-HDO211079,2023-06-28,2023-06-29,Gas Leak Repairs,,,,2496.14,0,0
Creditor,rps_lng-HDO210271,rps_lng-HDO19001147,rps_lng-HDO211079,2023-06-22,2023-06-27,Gas Leak Investigation,,,,308.0,0,0
Creditor,rps_lng-HDO210271,rps_lng-HDO19001147,rps_lng-HDO211079,2023-04-21,2023-06-13,Repair Shower Head,,,,492.17,0,0
Creditor,rps_lng-HDO210271,rps_lng-CVA21002500,rps_lng-HDO211079,2022-12-05,2023-01-30,Water Leak,,,,1298.0,0,0
Creditor,rps_lng-HDO210271,rps_lng-HDO19001147,rps_lng-HDO211079,2022-06-20,2022-07-07,Burst water pipe,,,,834.19,0,0
Creditor,rps_lng-HDO210271,rps_lng-VAD21000019,rps_lng-HDO211079,2021-09-28,2021-11-16,Electrical and Gas Safety,,,,602.8,0,0
Creditor,rps_lng-HDO210285,rps_lng-HDO18000912,rps_lng-HDO211320,2021-10-28,2021-11-15,Pest control,,,,418.0,0,0
