tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id,contact_5_id,contact_6_id
rps_lng-CVA210102,rps_lng-CVA210389,30/11/2022,30/11/2022,29/11/2023,,,,,,rps_lng-CVA21000840,,,,,,,,,,,,,,,,,,,2023-08-01T11:00:00+01:00,,,,Monthly,340.1425,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210191,rps_lng-CVA210391,1/05/2020,1/05/2020,5/05/2021,,,,,,rps_lng-CVA21000843,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO210865,rps_lng-CVA210391,17/08/2023,17/08/2023,16/08/2024,,,,,,rps_lng-HDO21001957,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210105,rps_lng-CVA210397,1/06/2021,1/06/2021,31/05/2022,,,,,,rps_lng-CVA21000848,,,,,,,,,,,,,,,,,,,,,,,Monthly,475.0027,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210106,rps_lng-CVA210398,9/06/2017,9/06/2017,10/03/2022,,,,,,rps_lng-CVA21000849,,,,,,,,,,,,,,,,,,,,,,,Monthly,756,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210108,rps_lng-CVA210401,31/05/2020,31/05/2020,30/05/2021,,,,,,rps_lng-CVA21000854,,,,,,,,,,,,,,,,,,,,,,,Monthly,585.0082,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001272,,,,
rps_lng-HDO210580,rps_lng-CVA210401,5/07/2023,5/07/2023,4/07/2024,,,,,,rps_lng-HDO21001330,,,,,,,,,,,,,,,,,,,,,,,Monthly,650.137,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210584,rps_lng-CVA210406,13/11/2020,13/11/2020,29/08/2022,,,,,,rps_lng-CVA21000860,,,,,,,,,,,,,,,,,,,,,,,Monthly,600.1973,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000861,,,,
rps_lng-HDO221419,rps_lng-CVA210406,7/10/2022,7/10/2022,6/10/2023,,,,,,rps_lng-HDO22003254,,,,,,,,,,,,,,,,,,,,,,,Monthly,619.989,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003253,,,,
rps_lng-HDO221273,rps_lng-CVA210411,12/09/2022,12/09/2022,11/09/2023,,,,,,rps_lng-HDO22002888,,,,,,,,,,,,,,,,,,,,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210254,rps_lng-CVA210417,15/02/2019,15/02/2019,14/02/2020,,,,,,rps_lng-CVA21000871,,,,,,,,,,,,,,,,,,,,,,,Monthly,385.0192,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210114,rps_lng-CVA210420,1/08/2023,1/08/2023,31/01/2024,,,,,,rps_lng-CVA21000875,,,,,,,,,,,,,,,,,,,,,,,Monthly,430.3562,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000876,,,,
rps_lng-CVA210207,rps_lng-CVA210426,1/08/2020,1/08/2020,30/09/2021,,,,,,rps_lng-CVA21001259,,,,,,,,,,,,,,,,,,,,,,,Monthly,380.1863,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO211594,rps_lng-CVA210426,15/12/2021,15/12/2021,14/06/2022,,,,,,rps_lng-HDO21003403,,,,,,,,,,,,,,,,,,,,,,,Monthly,339.9123,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220740,rps_lng-CVA210426,18/06/2022,18/06/2022,1/04/2023,,,,,,rps_lng-HDO22001511,,,,,,,,,,,,,,,,,,,,,,,Monthly,374.8932,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210576,rps_lng-CVA210429,16/11/2022,16/11/2022,15/11/2023,,,,,,rps_lng-CVA21000885,,,,,,,,,,,,,,,,,,,,,,,Monthly,450.1479,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210240,rps_lng-CVA210434,1/02/2020,1/02/2020,14/05/2021,,,,,,rps_lng-CVA21000890,,,,,,,,,,,,,,,,,,,,,,,Monthly,360.1644,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210120,rps_lng-CVA210435,1/07/2023,1/07/2023,30/06/2024,,,,,,rps_lng-CVA21000891,,,,,,,,,,,,,,,,,,,2024-03-01T00:00:00+00:00,,,,Monthly,585.0082,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210612,rps_lng-CVA210436,8/01/2023,8/01/2023,7/01/2024,,,,,,rps_lng-CVA21001256,,,,,,,,,,,,,,,,,,,,,,,Monthly,364.9973,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001257,,,,
rps_lng-HDO221292,rps_lng-CVA210439,17/09/2022,17/09/2022,16/07/2023,,,,,,rps_lng-HDO22002938,,,,,,,,,,,,,,,,,,,,,,,Monthly,599.9671,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003767,,,,
rps_lng-CVA210481,rps_lng-CVA210440,21/06/2020,21/06/2020,13/12/2021,,,,,,rps_lng-CVA21000893,,,,,,,,,,,,,,,,,,,,,,,Monthly,380.1863,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000894,,,,
rps_lng-HDO210795,rps_lng-CVA210459,6/07/2023,6/07/2023,5/07/2024,,,,,,rps_lng-HDO21001794,,,,,,,,,,,,,,,,,,,2024-04-01T16:00:00+01:00,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,rps_lng-HDO21001793,,,,
rps_lng-CVA210531,rps_lng-CVA210465,4/04/2023,4/04/2023,3/04/2024,,,,,,rps_lng-CVA21001206,,,,,,,,,,,,,,,,,,,,,,,Monthly,460.0438,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210402,rps_lng-CVA210468,10/03/2020,10/03/2020,2/02/2021,,,,,,rps_lng-CVA21001188,,,,,,,,,,,,,,,,,,,,,,,Monthly,450.1479,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210356,rps_lng-CVA210491,10/01/2020,10/01/2020,28/12/2022,,,,,,rps_lng-CVA21000951,,,,,,,,,,,,,,,,,,,,,,,Monthly,320.1205,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000952,,,,
rps_lng-HDO230052,rps_lng-CVA210491,20/01/2023,20/01/2023,19/01/2024,,,,,,rps_lng-HDO23000107,,,,,,,,,,,,,,,,,,,,,,,Monthly,330.0164,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210156,rps_lng-CVA210498,1/07/2020,1/07/2020,30/06/2021,,,,,,rps_lng-CVA21001127,,,,,,,,,,,,,,,,,,,,,,,Monthly,375.1233,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001152,,,,
rps_lng-HDO210098,rps_lng-CVA210507,29/01/2022,29/01/2022,28/01/2023,,,,,,rps_lng-HDO21000193,,,,,,,,,,,,,,,,,,,,,,,Monthly,350.0384,,,,,,,,,,,,,,,,,,,rps_lng-HDO21000194,,,,
rps_lng-HDO230148,rps_lng-CVA210507,18/02/2023,18/02/2023,17/02/2024,,,,,,rps_lng-HDO23000408,,,,,,,,,,,,,,,,,,,,,,,Monthly,425.063,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210213,rps_lng-CVA210513,7/03/2020,7/03/2020,6/03/2021,,,,,,rps_lng-CVA21001102,,,,,,,,,,,,,,,,,,,,,,,Monthly,400.2082,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO210649,rps_lng-CVA210513,22/07/2022,22/07/2022,21/07/2023,,,,,,rps_lng-HDO21001458,,,,,,,,,,,,,,,,,,,,,,,Monthly,299.8685,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220891,rps_lng-CVA210513,18/07/2022,18/07/2022,17/07/2023,,,,,,rps_lng-HDO22001909,,,,,,,,,,,,,,,,,,,,,,,Monthly,460.0438,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210209,rps_lng-CVA210542,1/12/2020,1/12/2020,30/11/2021,,,,,,rps_lng-CVA21001023,,,,,,,,,,,,,,,,,,,,,,,Monthly,450.1479,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001024,,,,
rps_lng-HDO211592,rps_lng-CVA210542,17/12/2022,17/12/2022,16/12/2023,,,,,,rps_lng-HDO21003400,,,,,,,,,,,,,,,,,,,,,,,Monthly,440.0219,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210286,rps_lng-CVA210579,1/07/2023,1/07/2023,30/06/2024,,,,,,rps_lng-CVA21001062,,,,,,,,,,,,,,,,,,,,,,,Monthly,480.0658,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210514,rps_lng-CVA210596,26/08/2020,26/08/2020,15/10/2021,,,,,,rps_lng-CVA21001087,,,,,,,,,,,,,,,,,,,,,,,Monthly,570.0493,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001088,,,,
rps_lng-CVA210315,rps_lng-CVA210609,20/09/2019,20/09/2019,3/05/2021,,,,,,rps_lng-CVA21001110,,,,,,,,,,,,,,,,,,,,,,,Monthly,395.1452,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210320,rps_lng-CVA210610,1/10/2020,1/10/2020,30/09/2021,,,,,,rps_lng-CVA21001111,,,,,,,,,,,,,,,,,,,,,,,Monthly,464.8767,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO211510,rps_lng-CVA210610,25/11/2021,25/11/2021,24/11/2022,,,,,,rps_lng-HDO21003217,,,,,,,,,,,,,,,,,,,,,,,Monthly,385.0192,,,,,,,,,,,,,,,,,,,rps_lng-HDO21003218,,,,
rps_lng-HDO221643,rps_lng-CVA210610,30/11/2022,30/11/2022,14/07/2023,,,,,,rps_lng-HDO21001739,,,,,,,,,,,,,,,,,,,,,,,Monthly,500.0877,,,,,,,,,,,,,,,,,,,rps_lng-HDO21001740,,,,
rps_lng-HDO220102,rps_lng-CVA210616,22/01/2022,22/01/2022,21/01/2023,,,,,,rps_lng-HDO22000219,,,,,,,,,,,,,,,,,,,2023-10-03T14:00:00+01:00,,,,Monthly,575.1123,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000220,,,,
rps_lng-CVA210449,rps_lng-CVA210647,1/06/2020,1/06/2020,1/06/2021,,,,,,rps_lng-CVA21001163,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001627,rps_lng-CVA21001628,,,
rps_lng-HDO210935,rps_lng-CVA210647,2/08/2021,2/08/2021,1/08/2022,,,,,,rps_lng-HDO21002100,,,,,,,,,,,,,,,,,,,,,,,Monthly,264.8877,,,,,,,,,,,,,,,,,,,rps_lng-HDO21002101,,,,
rps_lng-HDO221070,rps_lng-CVA210647,5/08/2023,5/08/2023,4/08/2024,,,,,,rps_lng-HDO22002323,,,,,,,,,,,,,,,,,,,,,,,Monthly,410.1041,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002322,,,,
rps_lng-RPT190654,rps_lng-HDO080004,1/08/2011,1/08/2011,5/12/2016,,,,,,rps_lng-HDO11000016,,,,,,,,,,,,,,,,,,,,,,,Monthly,319.8904,,,,,,,,,,,,,,,,,,,rps_lng-HDO11000017,,,,
rps_lng-RPT190852,rps_lng-HDO080004,25/04/2009,25/04/2009,29/07/2011,,,,,,rps_lng-HDO09000006,,,,,,,,,,,,,,,,,,,,,,,Monthly,300.0986,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191479,rps_lng-HDO080004,2/10/2022,2/10/2022,1/10/2023,,,,,,rps_lng-HDO18000143,,,,,,,,,,,,,,,,,,,,,,,Monthly,400,,,,,,,,,,,,,,,,,,,rps_lng-HDO18000144,,,,
rps_lng-RPT191633,rps_lng-HDO080004,23/12/2016,23/12/2016,13/04/2018,,,,,,rps_lng-HDO16000274,,,,,,,,,,,,,,,,,,,,,,,Weekly,345,,,,,,,,,,,,,,,,,,,rps_lng-HDO16000275,,,,
rps_lng-HDO190843,rps_lng-HDO080019,12/10/2019,12/10/2019,5/06/2020,,,,,,rps_lng-HDO19004838,,,,,,,,,,,,,,,,,,2020-02-01T10:00:00+00:00,,,,,Monthly,379.9562,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO200373,rps_lng-HDO080019,1/07/2022,1/07/2022,30/06/2023,,,,,,rps_lng-HDO20000904,,,,,,,,,,,,,,,,,,2020-07-15T11:00:00+01:00,2024-04-01T16:00:00+01:00,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,rps_lng-HDO20000905,rps_lng-HDO20000906,,,
rps_lng-RPT191015,rps_lng-HDO080019,28/08/2015,28/08/2015,27/03/2017,,,,,,rps_lng-HDO15000185,,,,,,,,,,,,,,,,,,,,,,,Monthly,344.9753,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000186,,,,
rps_lng-RPT191037,rps_lng-HDO080019,24/04/2015,24/04/2015,27/08/2015,,,,,,rps_lng-HDO15000212,,,,,,,,,,,,,,,,,,,,,,,Monthly,335.0795,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191067,rps_lng-HDO080019,14/06/2013,14/06/2013,29/03/2015,,,,,,rps_lng-HDO13000222,,,,,,,,,,,,,,,,,,,,,,,Monthly,335.0795,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000223,rps_lng-HDO13000224,rps_lng-HDO13000225,rps_lng-HDO13000226,
rps_lng-RPT191414,rps_lng-HDO080019,2/02/2009,2/02/2009,28/03/2013,,,,,,rps_lng-HDO09000019,,,,,,,,,,,,,,,,,,,,,,,Weekly,340,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191532,rps_lng-HDO080019,1/04/2017,1/04/2017,16/09/2019,,,,,,rps_lng-HDO17000188,,,,,,,,,,,,,,,,,,,,,,,Monthly,368.9096,,,,,,,,,,,,,,,,,,,rps_lng-HDO17000189,,,,
rps_lng-HDO200885,rps_lng-HDO090003,14/05/2022,14/05/2022,13/05/2024,,,,,,rps_lng-HDO20001880,,,,,,,,,,,,,,,,,,,,,,,Monthly,374.8932,,,,,,,,,,,,,,,,,,,rps_lng-HDO20001879,,,,
rps_lng-RPT190280,rps_lng-HDO090003,11/12/2010,11/12/2010,28/05/2014,,,,,,rps_lng-HDO10000044,,,,,,,,,,,,,,,,,,,,,,,Monthly,319.8904,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190831,rps_lng-HDO090003,6/06/2014,6/06/2014,28/09/2015,,,,,,rps_lng-HDO14000007,,,,,,,,,,,,,,,,,,,,,,,Monthly,339.9123,,,,,,,,,,,,,,,,,,,rps_lng-HDO14000008,,,,
rps_lng-RPT191108,rps_lng-HDO090003,1/11/2009,1/11/2009,30/11/2010,,,,,,rps_lng-HDO09000051,,,,,,,,,,,,,,,,,,,,,,,Monthly,310.2247,,,,,,,,,,,,,,,,,,,rps_lng-HDO09000052,,,,
rps_lng-RPT191419,rps_lng-HDO090003,28/10/2015,28/10/2015,21/08/2020,,,,,,rps_lng-HDO15000104,,,,,,,,,,,,,,,,,,2020-02-01T10:00:00+00:00,,,,,Monthly,368.9096,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO200582,rps_lng-HDO090030,5/08/2022,5/08/2022,4/02/2023,,,,,,rps_lng-HDO20001307,,,,,,,,,,,,,,,,,,,,,,,Monthly,360.8548,,,,,,,,,,,,,,,,,,,rps_lng-HDO20001308,,,,
rps_lng-HDO230011,rps_lng-HDO090030,16/01/2023,16/01/2023,15/01/2024,,,,,,rps_lng-HDO23000029,,,,,,,,,,,,,,,,,,,,,,,Monthly,409.874,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190289,rps_lng-HDO090030,21/03/2013,21/03/2013,7/02/2015,,,,,,rps_lng-HDO13000302,,,,,,,,,,,,,,,,,,,,,,,Monthly,295.0356,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000303,rps_lng-HDO13000304,,,
rps_lng-RPT190296,rps_lng-HDO090030,27/02/2015,27/02/2015,22/11/2017,,,,,,rps_lng-HDO15000314,,,,,,,,,,,,,,,,,,,,,,,Weekly,320,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000315,,,,
rps_lng-RPT190473,rps_lng-HDO090030,16/04/2011,16/04/2011,18/01/2012,,,,,,rps_lng-HDO11000077,,,,,,,,,,,,,,,,,,,,,,,Monthly,284.9096,,,,,,,,,,,,,,,,,,,rps_lng-HDO11000078,rps_lng-HDO11000079,rps_lng-HDO11000080,,
rps_lng-RPT190814,rps_lng-HDO090030,13/01/2018,13/01/2018,19/07/2020,,,,,,rps_lng-HDO18000158,,,,,,,,,,,,,,,,,,2020-02-01T10:00:00+00:00,,,,,Monthly,363.8466,,,,,,,,,,,,,,,,,,,rps_lng-HDO18000159,,,,
rps_lng-RPT191090,rps_lng-HDO090030,27/02/2012,27/02/2012,20/03/2013,,,,,,rps_lng-HDO12000176,,,,,,,,,,,,,,,,,,,,,,,Monthly,284.9096,,,,,,,,,,,,,,,,,,,rps_lng-HDO12000177,,,,
rps_lng-RPT191294,rps_lng-HDO090030,17/02/2010,17/02/2010,28/02/2011,,,,,,rps_lng-HDO10000001,,,,,,,,,,,,,,,,,,,,,,,Monthly,284.9096,,,,,,,,,,,,,,,,,,,rps_lng-HDO10000002,,,,
rps_lng-RPT190766,rps_lng-HDO100024,5/06/2010,5/06/2010,23/09/2023,,,,,,rps_lng-HDO10000016,,,,,,,,,,,,,,,,,,,,,,,Monthly,339.9123,,,,,,,,,,,,,,,,,,,rps_lng-HDO10000017,,,,
rps_lng-HDO190051,rps_lng-HDO110042,4/08/2022,4/08/2022,3/08/2023,,,,,,rps_lng-HDO19002790,,,,,,,,,,,,,,,,,,,,,,,Monthly,390.0822,,,,,,,,,,,,,,,,,,,rps_lng-HDO19002789,,,,
rps_lng-RPT190168,rps_lng-HDO110042,7/11/2014,7/11/2014,23/01/2017,,,,,,rps_lng-HDO14000176,,,,,,,,,,,,,,,,,,,,,,,Weekly,350,,,,,,,,,,,,,,,,,,,rps_lng-HDO14000177,,,,
rps_lng-RPT190737,rps_lng-HDO110042,20/06/2011,20/06/2011,19/07/2013,,,,,,rps_lng-HDO11000045,,,,,,,,,,,,,,,,,,,,,,,Monthly,315.0575,,,,,,,,,,,,,,,,,,,rps_lng-HDO11000046,,,,
rps_lng-RPT191177,rps_lng-HDO110042,14/09/2013,14/09/2013,13/10/2014,,,,,,rps_lng-HDO13000229,,,,,,,,,,,,,,,,,,,,,,,Monthly,330.0164,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000230,,,,
rps_lng-RPT191524,rps_lng-HDO110042,7/04/2017,7/04/2017,6/05/2019,,,,,,rps_lng-HDO17000182,,,,,,,,,,,,,,,,,,,,,,,Monthly,350.0384,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190386,rps_lng-HDO110043,17/07/2011,17/07/2011,7/03/2012,,,,,,rps_lng-HDO11000032,,,,,,,,,,,,,,,,,,,,,,,Monthly,275.0137,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191230,rps_lng-HDO110043,14/09/2022,14/09/2022,13/09/2023,,,,,,rps_lng-HDO12000211,,,,,,,,,,,,,,,,,,,,,,,Weekly,340,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190649,rps_lng-HDO120008,11/04/2021,11/04/2021,10/04/2022,,,,,,rps_lng-HDO14000054,,,,,,,,,,,,,,,,,,,,,,,Weekly,330,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190896,rps_lng-HDO120008,2/03/2013,2/03/2013,11/06/2014,,,,,,rps_lng-HDO13000079,,,,,,,,,,,,,,,,,,,,,,,Weekly,310,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000080,rps_lng-HDO13000081,,,
rps_lng-RPT191104,rps_lng-HDO120044,8/06/2023,8/06/2023,7/06/2024,,,,,,rps_lng-HDO12000189,,,,,,,,,,,,,,,,,,,,,,,Monthly,440.0219,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190027,rps_lng-HDO120053,20/01/2017,20/01/2017,19/08/2020,,,,,,rps_lng-HDO17000028,,,,,,,,,,,,,,,,,,,,,,,Monthly,389.9993,,,,,,,,,,,,,,,,,,,rps_lng-HDO17000029,,,,
rps_lng-RPT191098,rps_lng-HDO120053,8/01/2014,8/01/2014,7/03/2015,,,,,,rps_lng-HDO13000256,,,,,,,,,,,,,,,,,,,,,,,Monthly,340.1425,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000257,,,,
rps_lng-RPT191115,rps_lng-HDO120053,8/03/2015,8/03/2015,15/12/2016,,,,,,rps_lng-HDO15000264,,,,,,,,,,,,,,,,,,,,,,,Monthly,355.1014,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000265,,,,
rps_lng-RPT191411,rps_lng-HDO120053,11/06/2012,11/06/2012,10/12/2013,,,,,,rps_lng-HDO12000083,,,,,,,,,,,,,,,,,,,,,,,Weekly,340,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190138,rps_lng-HDO120064,13/06/2023,13/06/2023,12/06/2024,,,,,,rps_lng-HDO16000146,,,,,,,,,,,,,,,,,,2020-01-01T10:00:00+00:00,,,,,Monthly,410.1041,,,,,,,,,,,,,,,,,,,rps_lng-HDO16000147,,,,
rps_lng-RPT190929,rps_lng-HDO120064,30/11/2015,30/11/2015,12/05/2016,,,,,,rps_lng-HDO15000098,,,,,,,,,,,,,,,,,,,,,,,Monthly,339.9123,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000099,,,,
rps_lng-RPT191362,rps_lng-HDO120064,2/05/2013,2/05/2013,23/11/2015,,,,,,rps_lng-HDO13000071,,,,,,,,,,,,,,,,,,,,,,,Monthly,298.9479,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000070,rps_lng-HDO13000072,,,
rps_lng-HDO211235,rps_lng-HDO120111,8/10/2022,8/10/2022,7/10/2023,,,,,,rps_lng-HDO21002683,,,,,,,,,,,,,,,,,,,,,,,Monthly,370.0603,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190305,rps_lng-HDO120111,14/08/2015,14/08/2015,26/07/2021,,,,,,rps_lng-HDO15000007,,,,,,,,,,,,,,,,,,,,,,,Weekly,330,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000008,,,,
rps_lng-RPT191448,rps_lng-HDO120111,27/02/2015,27/02/2015,13/08/2015,,,,,,rps_lng-HDO15000138,,,,,,,,,,,,,,,,,,,,,,,Monthly,319.8904,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000139,,,,
rps_lng-RPT191492,rps_lng-HDO120111,26/01/2013,26/01/2013,25/01/2015,,,,,,rps_lng-HDO13000202,,,,,,,,,,,,,,,,,,,,,,,Monthly,308.3836,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000203,,,,
rps_lng-HDO221625,rps_lng-HDO120207,5/12/2022,5/12/2022,4/12/2023,,,,,,rps_lng-HDO20001703,,,,,,,,,,,,,,,,,,,,,,,Monthly,390.0822,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO210581,rps_lng-HDO120330,17/05/2021,17/05/2021,16/05/2022,,,,,,rps_lng-HDO21001334,,,,,,,,,,,,,,,,,,,2023-08-01T17:00:00+01:00,,,,Monthly,394.9151,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230209,rps_lng-HDO120453,10/02/2023,10/02/2023,9/02/2024,,,,,,rps_lng-HDO23000604,,,,,,,,,,,,,,,,,,,,,,,Monthly,520.1096,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO200807,rps_lng-HDO130008,24/10/2020,24/10/2020,23/10/2022,,,,,,rps_lng-HDO20001737,,,,,,,,,,,,,,,,,,,,,,,Monthly,374.8932,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190316,rps_lng-HDO130008,7/10/2013,7/10/2013,6/10/2015,,,,,,rps_lng-HDO13000030,,,,,,,,,,,,,,,,,,,,,,,Monthly,359.9342,,,,,,,,,,,,,,,,,,,rps_lng-HDO13000031,,,,
rps_lng-RPT190693,rps_lng-HDO130008,4/12/2015,4/12/2015,30/08/2020,,,,,,rps_lng-HDO15000090,,,,,,,,,,,,,,,,,,,,,,,Monthly,390.0822,,,,,,,,,,,,,,,,,,,rps_lng-HDO15000091,rps_lng-HDO15000092,,,
rps_lng-HDO230169,rps_lng-HDO130027,15/02/2023,15/02/2023,14/02/2024,,,,,,rps_lng-HDO23000502,,,,,,,,,,,,,,,,,,,,,,,Monthly,440.0219,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000501,,,,
rps_lng-HDO211264,rps_lng-HDO130045,14/10/2022,14/10/2022,13/10/2023,,,,,,rps_lng-HDO21002747,,,,,,,,,,,,,,,,,,,,,,,Monthly,390.0822,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT190260,rps_lng-HDO130045,2/07/2018,2/07/2018,3/05/2021,,,,,,rps_lng-HDO18000245,,,,,,,,,,,,,,,,,,2020-07-01T10:00:00+01:00,,,,,Monthly,359.9342,,,,,,,,,,,,,,,,,,,rps_lng-WES19000031,,,,
rps_lng-RPT190928,rps_lng-HDO130045,7/02/2014,7/02/2014,9/02/2015,,,,,,rps_lng-HDO14000101,,,,,,,,,,,,,,,,,,,,,,,Weekly,330,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191192,rps_lng-HDO130045,27/03/2015,27/03/2015,5/08/2016,,,,,,rps_lng-HDO15000243,,,,,,,,,,,,,,,,,,,,,,,Monthly,344.9753,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-RPT191284,rps_lng-HDO130045,7/10/2016,7/10/2016,11/06/2018,,,,,,rps_lng-HDO16000272,,,,,,,,,,,,,,,,,,,,,,,Monthly,349.1178,,,,,,,,,,,,,,,,,,,rps_lng-HDO16000273,,,,
rps_lng-HDO190003,rps_lng-HDO130072,8/03/2020,8/03/2020,7/03/2021,,,,,,rps_lng-HDO19002617,,,,,,,,,,,,,,,,,,,,,,,Monthly,494.7945,,,,,,,,,,,,,,,,,,,rps_lng-HDO19002618,,,,
rps_lng-RPT190009,rps_lng-HDO130072,11/10/2013,11/10/2013,21/02/2019,,,,,,rps_lng-HDO13000009,,,,,,,,,,,,,,,,,,,,,,,Monthly,474.7726,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO190847,rps_lng-HDO140002,13/12/2021,13/12/2021,12/12/2022,,,,,,rps_lng-HDO19004845,,,,,,,,,,,,,,,,,,,,,,,Monthly,390.0822,,,,,,,,,,,,,,,,,,,,,,,
