tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id,contact_5_id,contact_6_id
rps_lng-HDO230527,rps_lng-HDO220366,21/04/2023,21/04/2023,20/04/2024,,,,,,rps_lng-HDO23001483,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221106,rps_lng-HDO220383,17/12/2021,17/12/2021,16/01/2023,,,,,,rps_lng-HDO22002440,,,,,,,,,,,,,,,,,,,,,,,Monthly,330.0164,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002439,,,,
rps_lng-HDO230094,rps_lng-HDO220383,21/01/2023,21/01/2023,20/01/2024,,,,,,rps_lng-HDO23000190,,,,,,,,,,,,,,,,,,,,,,,Monthly,360.1644,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000189,,,,
rps_lng-HDO230678,rps_lng-HDO220408,2/06/2023,2/06/2023,1/06/2024,,,,,,rps_lng-HDO23001858,,,,,,,,,,,,,,,,,,,,,,,Monthly,520.1096,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001857,,,,
rps_lng-HDO221537,rps_lng-HDO220471,31/10/2022,31/10/2022,30/04/2024,,,,,,rps_lng-HDO22003551,,,,,,,,,,,,,,,,,,,,,,,Monthly,674.9918,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003550,,,,
rps_lng-HDO221469,rps_lng-HDO220479,20/10/2022,20/10/2022,19/10/2023,,,,,,rps_lng-HDO22003386,,,,,,,,,,,,,,,,,,,,,,,Monthly,810.0822,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221519,rps_lng-HDO220482,10/11/2022,10/11/2022,9/11/2023,,,,,,rps_lng-HDO22003497,,,,,,,,,,,,,,,,,,,,,,,Monthly,764.9753,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003496,,,,
rps_lng-HDO221339,rps_lng-HDO220483,1/04/2023,1/04/2023,31/03/2024,,,,,,rps_lng-HDO22003056,,,,,,,,,,,,,,,,,,,,,,,Monthly,370.0603,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221620,rps_lng-HDO220524,22/11/2022,22/11/2022,21/11/2023,,,,,,rps_lng-HDO22003712,,,,,,,,,,,,,,,,,,,,,,,Monthly,700.0767,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221822,rps_lng-HDO220537,23/12/2022,23/12/2022,22/12/2023,,,,,,rps_lng-HDO22004192,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,rps_lng-HDO22004191,,,,
rps_lng-HDO221692,rps_lng-HDO220543,12/12/2022,12/12/2022,11/12/2023,,,,,,rps_lng-HDO22003889,,,,,,,,,,,,,,,,,,,,,,,Monthly,500.0877,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003890,,,,
rps_lng-HDO221772,rps_lng-HDO220585,21/12/2022,21/12/2022,20/01/2024,,,,,,rps_lng-HDO22004067,,,,,,,,,,,,,,,,,,,,,,,Monthly,460.0438,,,,,,,,,,,,,,,,,,,rps_lng-HDO22004066,,,,
rps_lng-HDO221743,rps_lng-HDO220594,19/12/2022,19/12/2022,18/12/2023,,,,,,rps_lng-HDO22004011,,,,,,,,,,,,,,,,,,,,,,,Monthly,649.9068,,,,,,,,,,,,,,,,,,,rps_lng-HDO22004010,,,,
rps_lng-HDO230035,rps_lng-HDO220669,14/01/2023,14/01/2023,13/02/2024,,,,,,rps_lng-HDO22000327,,,,,,,,,,,,,,,,,,,,,,,Monthly,410.1041,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230055,rps_lng-HDO220671,21/05/2023,21/05/2023,20/05/2024,,,,,,rps_lng-HDO23000113,,,,,,,,,,,,,,,,,,,2024-02-01T22:00:00+00:00,,,,Monthly,449.9178,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230090,rps_lng-HDO220702,19/07/2023,19/07/2023,18/07/2024,,,,,,rps_lng-HDO23000176,,,,,,,,,,,,,,,,,,,,,,,Monthly,579.9452,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000174,rps_lng-HDO23000175,,,
rps_lng-HDO230091,rps_lng-HDO220703,15/07/2022,15/07/2022,14/07/2023,,,,,,rps_lng-HDO23000181,,,,,,,,,,,,,,,,,,,,,,,Monthly,779.9342,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000178,rps_lng-HDO23000179,rps_lng-HDO23000180,,
rps_lng-HDO230182,rps_lng-HDO220707,11/02/2023,11/02/2023,10/02/2024,,,,,,rps_lng-HDO23000532,,,,,,,,,,,,,,,,,,,,,,,Monthly,379.9562,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000531,,,,
rps_lng-HDO230153,rps_lng-HDO220708,18/02/2023,18/02/2023,17/02/2024,,,,,,rps_lng-HDO23000435,,,,,,,,,,,,,,,,,,,,,,,Monthly,379.9562,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000433,rps_lng-HDO23000434,,,
rps_lng-HDO230197,rps_lng-HDO230011,18/02/2023,18/02/2023,17/02/2024,,,,,,rps_lng-HDO23000564,,,,,,,,,,,,,,,,,,,,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000562,rps_lng-HDO23000563,,,
rps_lng-HDO230565,rps_lng-HDO230040,5/05/2023,5/05/2023,4/05/2024,,,,,,rps_lng-HDO23001572,,,,,,,,,,,,,,,,,,,,,,,Monthly,899.8356,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001569,rps_lng-HDO23001570,rps_lng-HDO23001571,,
rps_lng-JAM230002,rps_lng-HDO230051,14/08/2023,14/08/2023,13/08/2024,,,,,,rps_lng-JAM23000007,,,,,,,,,,,,,,,,,,,2024-05-01T12:00:00+01:00,,,,Monthly,530.0055,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230173,rps_lng-HDO230056,2/11/2022,2/11/2022,1/11/2023,,,,,,rps_lng-HDO23000515,,,,,,,,,,,,,,,,,,,,,,,Monthly,897.5342,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000513,rps_lng-HDO23000514,rps_lng-HDO23002575,,
rps_lng-HDO230204,rps_lng-HDO230064,20/07/2022,20/07/2022,19/07/2023,,,,,,rps_lng-HDO23000584,,,,,,,,,,,,,,,,,,,,,,,Monthly,959.9014,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000589,rps_lng-HDO23000585,rps_lng-HDO23000586,rps_lng-HDO23000587,rps_lng-HDO23000588
rps_lng-HDO230200,rps_lng-HDO230065,11/11/2022,11/11/2022,10/11/2023,,,,,,rps_lng-HDO23000570,,,,,,,,,,,,,,,,,,,,,,,Monthly,889.9397,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000567,rps_lng-HDO23000568,rps_lng-HDO23000569,,
rps_lng-HDO230271,rps_lng-HDO230072,1/03/2023,1/03/2023,29/02/2024,,,,,,rps_lng-HDO23000830,,,,,,,,,,,,,,,,,,,,,,,Monthly,530.0055,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230380,rps_lng-HDO230086,27/03/2023,27/03/2023,26/03/2024,,,,,,rps_lng-HDO23001128,,,,,,,,,,,,,,,,,,,,,,,Monthly,440.0219,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001127,,,,
rps_lng-JAM230003,rps_lng-HDO230187,21/04/2023,21/04/2023,20/04/2024,,,,,,rps_lng-JAM23000016,,,,,,,,,,,,,,,,,,,,,,,Monthly,449.9178,,,,,,,,,,,,,,,,,,,rps_lng-JAM23000017,,,,
rps_lng-HDO230654,rps_lng-HDO230195,27/05/2023,27/05/2023,26/05/2024,,,,,,rps_lng-HDO23001794,,,,,,,,,,,,,,,,,,,,,,,Monthly,649.9068,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001793,,,,
