,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,Unallocated,VAT
538,rps_lng-HDO23038058,2023-01-25T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 33/88FRANKLINSTREE,False,True,1434.0,1434.0,,,
539,rps_lng-HDO23079933,2023-02-21T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 33/88FRANKLINSTREE,True,False,1434.0,1434.0,1434.0,,
540,rps_lng-HDO23070147,2023-02-21T00:00:00+00:00,Invoice,Rent,Rent from 21/02/2023 to 20/03/2023 for 33/88 Franklin Street,False,True,1434.0,1434.0,,,
541,rps_lng-HDO23082470,2023-02-22T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1434.0,1434.0,1434.0,,
542,rps_lng-HDO23082688,2023-02-23T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 33/88FRANKLINSTREE,False,True,1434.0,1434.0,,,
543,rps_lng-HDO23117524,2023-03-21T00:00:00+00:00,Invoice,Rent,Rent from 21/03/2023 to 20/04/2023 for 33/88 Franklin Street,False,True,1521.0,1521.0,-1521.0,,
544,rps_lng-HDO23126240,2023-03-21T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,,,
545,rps_lng-HDO23126388,2023-03-21T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 33/88FRANKLINSTREE,True,False,1521.0,1521.0,1521.0,,
546,rps_lng-HDO23128724,2023-03-23T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 33/88FRANKLINSTREE,False,True,1521.0,1521.0,,,
547,rps_lng-HDO23170724,2023-04-19T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,1521.0,,
548,rps_lng-HDO23163275,2023-04-21T00:00:00+01:00,Invoice,Rent,Rent from 21/04/2023 to 20/05/2023 for 33/88 Franklin Street,False,True,1521.0,1521.0,,,
549,rps_lng-HDO23211118,2023-05-21T00:00:00+01:00,Invoice,Rent,Rent from 21/05/2023 to 20/06/2023 for 33/88 Franklin Street,False,True,1521.0,1521.0,-1521.0,,
550,rps_lng-HDO23222139,2023-05-22T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,,,
551,rps_lng-HDO23222486,2023-05-22T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 33/88FRANKLINSTREE,True,False,1521.0,1521.0,1521.0,,
552,rps_lng-HDO23224462,2023-05-24T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 33/88FRANKLINSTREE,False,True,1521.0,1521.0,,,
553,rps_lng-HDO23258103,2023-06-21T00:00:00+01:00,Invoice,Rent,Rent from 21/06/2023 to 20/07/2023 for 33/88 Franklin Street,False,True,1521.0,1521.0,-1521.0,,
554,rps_lng-HDO23267894,2023-06-21T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,,,
555,rps_lng-HDO23268090,2023-06-21T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 33/88FRANKLINSTREE,True,False,1521.0,1521.0,1521.0,,
556,rps_lng-HDO23270908,2023-06-23T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 33/88FRANKLINSTREE,False,True,1521.0,1521.0,,,
557,rps_lng-HDO23304541,2023-07-11T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,1521.0,,
558,rps_lng-HDO23309138,2023-07-21T00:00:00+01:00,Invoice,Rent,Rent from 21/07/2023 to 20/08/2023 for 33/88 Franklin Street,False,True,1521.0,1521.0,,,
559,rps_lng-HDO23336500,2023-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 46464541,True,False,1521.0,1521.0,1521.0,1521.0,
560,rps_lng-,2022-10-27T00:00:00+01:00,Opening Balance CR,Float,Opening Balance,False,False,,,,,
561,rps_lng-HDO22466892,2022-10-27T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1738.0,,
562,rps_lng-HDO22467266,2022-10-28T00:00:00+01:00,Invoice,Deposit,Deposit invoice,False,True,1738.0,1738.0,,,
563,rps_lng-HDO22467267,2022-10-28T00:00:00+01:00,,Deposit,Deposit held,True,False,1738.0,1738.0,1738.0,,
564,rps_lng-HDO22483813,2022-11-08T00:00:00+00:00,Invoice,,Transfer deposit to deposit protection scheme. Ref: 15448112,False,True,1738.0,1738.0,,,
565,rps_lng-HDO22486851,2022-11-09T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1738.0,,
566,rps_lng-HDO22501720,2022-11-18T00:00:00+00:00,Invoice,Rent,Rent from 18/11/2022 to 17/12/2022 for 7/9 Denbigh Road,False,True,1738.0,1738.0,,,
567,rps_lng-HDO22535936,2022-12-18T00:00:00+00:00,Invoice,Rent,Rent from 18/12/2022 to 17/01/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-1738.0,,
568,rps_lng-HDO22546532,2022-12-19T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,,,
569,rps_lng-HDO22548192,2022-12-20T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1738.0,,
570,rps_lng-HDO22548391,2022-12-21T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,,,
571,rps_lng-HDO23028467,2023-01-18T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,1738.0,,
572,rps_lng-HDO23019925,2023-01-18T00:00:00+00:00,Invoice,Rent,Rent from 18/01/2023 to 17/02/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,,,
