property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_[fee id]
rps_lng-CVA210459,rps_lng-CVA210430, Residential_Apartment ,107,63-69,Rouse Street,,PORT MELBOURNE,VIC,3207,1,1,1,,0,,,2023-02-07T09:47:32+00:00,,rntinc,,399.9781,Monthly,,,,,
rps_lng-CVA210465,rps_lng-CVA210437, Residential_Apartment ,536,63,Spencer Street,,DOCKLANDS,VIC,3008,1,1,1,,0,,,2023-02-13T17:45:16+00:00,,rntinc,,400.0,Weekly,,,,,
rps_lng-CVA210491,rps_lng-CVA210397, Residential_Apartment ,17,32,East Esplanade,,ST ALBANS,VIC,3021,1,1,1,,0,,,2023-02-24T15:26:10+00:00,,rntinc,,330.0164,Monthly,,,,,
rps_lng-CVA210507,rps_lng-CVA210481, Residential_Apartment ,12,35,Tulip Grove,,CHELTENHAM,VIC,3192,2,1,1,,0,,,2023-02-21T15:02:21+00:00,,rntinc,,425.063,Monthly,,,,,
rps_lng-CVA210513,rps_lng-CVA210487, Residential_Apartment ,601,7,Katherine Place,,MELBOURNE,VIC,3000,1,1,0,,0,,,2023-07-20T15:43:26+01:00,,rntinc,,350.0384,Monthly,,,,,
rps_lng-CVA210542,rps_lng-CVA210166, Residential_Apartment ,902,288,Albert Street,,BRUNSWICK,VIC,3056,2,1,1,,0,,,2022-12-08T11:23:12+00:00,,rntinc,,425.063,Monthly,,,,,
rps_lng-CVA210579,rps_lng-CVA210546, Residential_Apartment ,2407,60,Kavanagh Street,,SOUTHBANK,VIC,3006,1,1,0,,0,,,2023-03-27T15:34:50+01:00,,rntinc,,469.9397,Monthly,,,,,
rps_lng-CVA210610,rps_lng-CVA210572, Residential_Apartment ,814,338,Kings Way,,SOUTH MELBOURNE,VIC,3205,2,1,1,,0,,,2023-07-19T14:47:37+01:00,,rntinc,,550.0274,Monthly,,,,,
rps_lng-CVA210616,rps_lng-CVA210580, Residential_Apartment ,503,11,David Street,,RICHMOND,VIC,3121,2,2,1,,0,,,2023-01-19T12:45:52+00:00,,rntinc,,550.0,Weekly,,,,,
rps_lng-CVA210647,rps_lng-CVA210607, Residential_Apartment ,17,88,Franklin Street,,MELBOURNE,VIC,3000,2,1,0,,0,,,2023-06-16T10:25:04+01:00,,rntinc,,410.1041,Weekly,,,,,
rps_lng-HDO080004,rps_lng-RPT080004, Residential_House ,,18,Cadell Avenue,,Tarneit,Vic,3029,4,2,2,,0,,,2022-10-03T15:22:31+01:00,,rntinc,,370.0603,Monthly,,,,,
rps_lng-HDO080019,rps_lng-RPT080016, Residential_House ,,20,Delias Road,,Tarneit,Vic,3029,4,2,2,,0,,,2023-05-18T12:41:47+01:00,,rntinc,,399.9781,Weekly,,,,,
rps_lng-HDO090003,rps_lng-RPT090003, Residential_House ,,16,Winona Circuit,,Tarneit,Vic,3029,4,0,0,,0,,,2023-05-18T12:25:05+01:00,,rntinc,,420.0,Monthly,,,,,
rps_lng-HDO090030,rps_lng-RPT090028, Residential_House ,,22,Prairie Place,,Truganina,Vic,3029,3,2,2,,0,2020-07-21T09:32:04+01:00,,2023-03-15T14:33:17+00:00,,rntinc,,409.874,Monthly,,,,,
rps_lng-HDO100024,rps_lng-RPT100021, Residential_House ,,5,Prairie Place,,Truganina,Vic,3029,3,2,2,,0,,,2023-07-24T16:14:10+01:00,,rntinc,,375.1233,Monthly,,,,,
rps_lng-HDO110042,rps_lng-RPT110042, Residential_House ,,39,Laurence Way,,Tarneit,Vic,3029,4,2,2,,0,,,2022-06-14T09:38:37+01:00,,rntinc,,390.0822,Monthly,,,,,
rps_lng-HDO110043,rps_lng-RPT110043, Residential_House ,,13,Edenvale Street,,Wyndham Vale,Vic,3024,3,0,0,,0,,,2022-12-12T15:11:38+00:00,,rntinc,,339.9123,Monthly,,,,,
rps_lng-HDO120044,rps_lng-RPT120044, Residential_House ,,117,Penrose Promenade,,Tarneit,Vic,3029,4,0,0,,0,,,2023-04-12T19:05:25+01:00,,rntinc,,394.9151,Monthly,,,,,
rps_lng-HDO120056,rps_lng-RPT120056, Residential_House ,,9,Crathe Close,,Roxburgh Park,Vic,3064,4,2,2,,0,,,2023-04-12T19:04:21+01:00,,rntinc,,489.9616,Monthly,,,,,
