tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id
rps_lng-HDO190718,rps_lng-HDO190917,2022-10-11,2022-10-11,2023-10-10,,,,,,rps_lng-HDO19004541,,,,,,,,,,,,,,,,,,,2023-10-01T14:00:00+01:00,100005,,,Monthly,380.19,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230965,rps_lng-HDO190952,2023-08-04,2023-08-04,2024-08-03,,,,,,rps_lng-HDO23002600,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,750.02,,,,,,,,,,,,,,,,,,,rps_lng-HDO23002599,,
rps_lng-HDO221599,rps_lng-HDO190959,2022-11-11,2022-11-11,2023-11-10,,,,,,rps_lng-HDO22003667,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,420.0,,,,10/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22003666,,
rps_lng-HDO220998,rps_lng-HDO190995,2022-07-25,2022-07-25,2023-07-24,,,,,,rps_lng-HDO22002155,,,,,,,,,,,,,,,,,,,2024-04-01T17:00:00+01:00,100005,,,Monthly,469.94,,,,24/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22002154,,
rps_lng-HDO190944,rps_lng-HDO191014,2021-10-29,2021-10-29,2023-10-28,,,,,,rps_lng-HDO19005132,,,,,,,,,,,,,,,,,,2020-07-29T17:00:00+01:00,,100005,,,Monthly,539.9,,,,28/08/2023,2638.0,,,,,,,,,,,,,,rps_lng-HDO19005133,,
rps_lng-HDO230048,rps_lng-HDO191133,2023-01-27,2023-01-27,2024-01-26,,,,,,rps_lng-HDO23000102,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,449.92,,,,26/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23000101,,
rps_lng-HDO200327,rps_lng-HDO191134,2022-02-17,2022-02-17,2022-08-16,,,,,,rps_lng-HDO20000795,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,379.96,,,,16/08/2023,791.25,,,,,,,,,,,,,,rps_lng-HDO20000796,,
rps_lng-HDO191101,rps_lng-HDO191147,2022-03-19,2022-03-19,2023-03-18,,,,,,rps_lng-HDO19005557,,,,,,,,,,,,,,,,,,,2024-01-01T11:00:00+00:00,100005,,,Monthly,454.98,,,,19/09/2023,2152.8,,,,,,,,,,,,,,,,
rps_lng-HDO230311,rps_lng-HDO191230,2023-03-04,2023-03-04,2024-03-03,,,,,,rps_lng-HDO23000949,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,489.96,,,,03/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23000948,,
rps_lng-HDO221052,rps_lng-HDO191272,2022-08-12,2022-08-12,2024-08-11,,,,,,rps_lng-HDO22002289,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,500.09,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002288,,
rps_lng-HDO221539,rps_lng-HDO191279,2022-10-31,2022-10-31,2023-10-30,,,,,,rps_lng-HDO22003556,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,539.9,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220561,rps_lng-HDO200014,2023-05-07,2023-05-07,2024-05-06,,,,,,rps_lng-HDO22001125,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,390.08,,,,,,,,,,,,,,,,,,,,,
rps_lng-JAM200013,rps_lng-HDO200075,2022-10-20,2022-10-20,2023-10-19,,,,,,rps_lng-JAM20000042,,,,,,,,,,,,,,,,,,,2023-10-01T19:00:00+01:00,100005,,,Monthly,429.9,,,,,,,,,,,,,,,,,,,rps_lng-JAM20000043,,
rps_lng-HDO210938,rps_lng-HDO200076,2023-09-14,2023-09-14,2024-09-13,,,,,,rps_lng-HDO21002102,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,450.15,,,,,,,,,,,,,,,,,,,rps_lng-HDO21002103,,
rps_lng-HDO221054,rps_lng-HDO200113,2023-08-12,2023-08-12,2024-08-11,,,,,,rps_lng-HDO22002292,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,425.06,,,,11/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO230665,rps_lng-HDO200164,2023-06-03,2023-06-03,2024-06-02,,,,,,rps_lng-HDO23001825,,,,,,,,,,,,,,,,,,,2024-02-01T12:00:00+00:00,100005,,,Monthly,770.04,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001823,rps_lng-HDO23001824,
rps_lng-HDO211030,rps_lng-HDO200287,2022-08-27,2022-08-27,2023-08-26,,,,,,rps_lng-HDO21002264,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,399.98,,,,26/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO21002265,,
rps_lng-HDO221263,rps_lng-HDO200296,2023-09-10,2023-09-10,2024-09-09,,,,,,rps_lng-HDO22002855,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,610.09,,,,09/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22002854,,
rps_lng-HDO220684,rps_lng-HDO200300,2023-05-28,2023-05-28,2023-11-27,,,,,,rps_lng-HDO22001362,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,390.08,,,,27/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO221693,rps_lng-HDO200325,2022-12-21,2022-12-21,2023-12-20,,,,,,rps_lng-HDO22003891,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,339.91,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001835,,
rps_lng-HDO230152,rps_lng-HDO200391,2023-02-04,2023-02-04,2024-02-03,,,,,,rps_lng-HDO23000432,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,385.02,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000431,,
rps_lng-HDO230029,rps_lng-HDO200400,2023-01-13,2023-01-13,2024-01-12,,,,,,rps_lng-HDO23000065,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,375.12,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000064,,
rps_lng-HDO220250,rps_lng-HDO200434,2023-02-18,2023-02-18,2024-02-17,,,,,,rps_lng-HDO22000500,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,460.04,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000499,,
rps_lng-HDO210374,rps_lng-HDO210031,2023-04-01,2023-04-01,2024-03-31,,,,,,rps_lng-HDO21000885,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,479.84,,,,31/08/2023,195.0,,,,,,,,,,,,,,rps_lng-HDO21000886,,
rps_lng-HDO210225,rps_lng-HDO210036,2022-09-27,2022-09-27,2023-09-26,,,,,,rps_lng-HDO21000523,,,,,,,,,,,,,,,,,,,2023-09-01T12:00:00+01:00,100005,,,Monthly,330.02,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220254,rps_lng-HDO210068,2023-03-22,2023-03-22,2024-02-21,,,,,,rps_lng-HDO22000509,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,394.92,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000508,,
rps_lng-HDO211379,rps_lng-HDO210078,2022-10-30,2022-10-30,2023-10-29,,,,,,rps_lng-HDO21002950,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,410.1,,,,,,,,,,,,,,,,,,,rps_lng-HDO21002951,,
rps_lng-HDO210515,rps_lng-HDO210112,2022-11-10,2022-11-10,2023-05-09,,,,,,rps_lng-HDO21001186,,,,,,,,,,,,,,,,,,,2024-03-01T12:00:00+00:00,100005,,,Monthly,350.04,,,,,,,,,,,,,,,,,,,rps_lng-HDO21001187,,
rps_lng-HDO210797,rps_lng-HDO210119,2023-07-02,2023-07-02,2024-07-01,,,,,,rps_lng-HDO21001801,,,,,,,,,,,,,,,,,,,2024-04-01T17:00:00+01:00,100005,,,Monthly,390.08,,,,01/09/2023,21.0,,,,,,,,,,,,,,rps_lng-HDO21001802,,
rps_lng-HDO230160,rps_lng-HDO210128,2023-02-11,2023-02-11,2024-02-10,,,,,,rps_lng-HDO23000464,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,375.12,,,,10/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23000463,,
rps_lng-HDO210686,rps_lng-HDO210136,2021-06-24,2021-06-24,2022-06-23,,,,,,rps_lng-HDO21001534,,,,,,,,,,,,,,,,,,,2023-12-01T20:00:00+00:00,100005,,,Monthly,449.92,,,,,,,,,,,,,,,,,,,rps_lng-JAM23000002,rps_lng-HDO21001535,
rps_lng-HDO210850,rps_lng-HDO210145,2023-08-16,2023-08-16,2024-08-15,,,,,,rps_lng-HDO21001929,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,430.13,,,,,,,,,,,,,,,,,,,rps_lng-HDO21001928,rps_lng-JAM23000005,
rps_lng-HDO221194,rps_lng-HDO210146,2023-10-02,2023-10-02,2024-10-01,,,,,,rps_lng-HDO22002687,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,450.15,,,,01/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22002686,,
rps_lng-HDO211551,rps_lng-HDO210218,2023-04-18,2023-04-18,2024-01-17,,,,,,rps_lng-HDO21003318,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,530.01,,,,17/09/2023,2360.1,,,,,,,,,,,,,,,,
rps_lng-HDO220076,rps_lng-HDO210224,2023-03-22,2023-03-22,2024-01-21,,,,,,rps_lng-HDO22000169,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,480.07,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000168,,
rps_lng-HDO211182,rps_lng-HDO210226,2022-09-29,2022-09-29,2023-09-28,,,,,,rps_lng-HDO21002590,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,399.98,,,,,,,,,,,,,,,,,,,rps_lng-HDO21002591,,
