property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_1,fee_2,fee_3,fee_4,fee_5,fee_6,fee_7,Property Manager
rps_lng-CVA210411,rps_lng-CVA210382, Residential_  ,2,26-28,Broadway,,ELWOOD,VIC,3184,1,1,1,,0,1999-01-01,,2023-05-15T17:40:45+01:00,,100005,,399.98,Monthly,,,,,6.6,4.84,,,,,30.0,Kasey Neuendorf
rps_lng-CVA210417,rps_lng-CVA210388, Residential_  ,1106,18,Mt Alexander Road,,TRAVANCORE,VIC,3032,2,1,1,,0,1999-01-01,,2023-07-20T09:34:48+01:00,,100005,,385.02,Monthly,,,,,7.7,5.5,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210420,rps_lng-CVA210391, Residential_  ,1419,18,Mt Alexander Road,,TRAVANCORE,VIC,3032,2,1,1,,0,1999-01-01,,2023-05-17T11:22:44+01:00,,100005,,395.15,Monthly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210429,rps_lng-CVA210400, Residential_  ,4,185,Auburn Road,,HAWTHORN,VIC,3122,2,1,1,,0,1999-01-01,,2022-10-03T11:07:30+01:00,,100005,,450.15,Weekly,,,,,7.7,3.3,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210435,rps_lng-CVA210406, Residential_  ,,52,Freeman Street,,FITZROY NORTH,VIC,3068,2,1,0,,0,1999-01-01,,2023-01-30T09:43:12+00:00,,100005,,585.01,Weekly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210436,rps_lng-CVA210407, Residential_  ,606,65,Coventry Street,,SOUTHBANK,VIC,3006,1,1,1,,0,1999-01-01,,2023-01-19T12:46:27+00:00,,100005,,345.21,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-CVA210439,rps_lng-CVA210410, Residential_  ,1104,50,Albert Road,,South Melbourne,VIC,3205,2,1,1,,0,1999-01-01,,2023-07-19T09:33:38+01:00,,100005,,619.99,Monthly,,,,,6.5,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210459,rps_lng-CVA210430, Residential_  ,107,63-69,Rouse Street,,PORT MELBOURNE,VIC,3207,1,1,1,,0,1999-01-01,,2023-02-07T09:47:32+00:00,,100005,,399.98,Monthly,,,,,7.7,3.3,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210465,rps_lng-CVA210437, Residential_  ,536,63,Spencer Street,,DOCKLANDS,VIC,3008,1,1,1,,0,1999-01-01,,2023-02-13T17:45:16+00:00,,100005,,400.0,Weekly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210491,rps_lng-CVA210397, Residential_  ,17,32,East Esplanade,,ST ALBANS,VIC,3021,1,1,1,,0,1999-01-01,,2023-02-24T15:26:10+00:00,,100005,,330.02,Monthly,,,,,7.7,3.3,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210507,rps_lng-CVA210481, Residential_  ,12,35,Tulip Grove,,CHELTENHAM,VIC,3192,2,1,1,,0,1999-01-01,,2023-02-21T15:02:21+00:00,,100005,,425.06,Monthly,,,,,7.7,3.3,,,,,40.0,Kasey Neuendorf
